game_id,game_date,matchup,home_team,home_pts,home_reb,home_ast,home_tov,home_fg_pct,away_team,away_pts,away_reb,away_ast,away_tov,away_fg_pct,home_win,point_diff,reb_diff,ast_diff,tov_diff,home_elo,away_elo,elo_diff,home_injuries,away_injuries,injury_diff,home_roll5_pts,away_roll5_pts,home_roll5_reb,away_roll5_reb,home_roll5_ast,away_roll5_ast,roll5_point_diff,roll5_reb_diff,roll5_ast_diff,home_advantage
0022400732,2025-02-06,POR vs. SAC,POR,0,0,1,0,0.0,SAC,7,3,0,2,0.5,0,-7,-3,1,-2,1475.6,1495.1,-19.5,0,3,3,0.0,7.0,0.5,3.0,0.5,0.0,-7.0,-2.5,0.5,1
0022400731,2025-02-06,LAL vs. GSW,LAL,11,3,2,0,0.667,GSW,13,5,4,0,0.714,0,-2,-2,-2,0,1543.9,1534.1,9.800000000000182,3,1,-2,11.0,8.5,3.0,2.5,2.0,2.0,2.5,0.5,0.0,1
0022400733,2025-02-06,LAC vs. IND,LAC,22,4,3,2,0.4,IND,4,3,3,0,0.0,1,18,1,0,2,1543.9,1543.9,0.0,2,3,1,15.0,2.0,7.0,2.5,3.0,4.5,13.0,4.5,-1.5,1
0022400729,2025-02-06,HOU @ MIN,MIN,15,11,4,2,0.375,HOU,10,5,1,1,1.0,1,5,6,3,1,1539.0,1553.7,-14.700000000000045,3,2,-1,9.5,8.333333333333334,6.0,4.0,2.0,1.0,1.166666666666666,2.0,1.0,1
0022400730,2025-02-06,DEN vs. ORL,DEN,5,3,5,1,0.333,ORL,7,2,0,0,0.333,0,-2,1,5,1,1543.9,1500.0,43.90000000000009,2,0,-2,5.333333333333333,3.0,3.0,1.6666666666666667,3.0,0.3333333333333333,2.333333333333333,1.3333333333333333,2.6666666666666665,1
0022400728,2025-02-06,BOS vs. DAL,BOS,2,3,2,1,0.5,DAL,19,3,4,3,0.412,0,-17,0,-2,-2,1597.6,1490.2,107.39999999999986,3,2,-1,2.0,10.0,3.0,2.0,2.0,2.0,-8.0,1.0,0.0,1
0022400737,2025-02-07,MIA @ BKN,BKN,11,8,1,1,0.333,MIA,15,4,6,4,0.273,0,-4,4,-5,-3,1426.8,1480.5,-53.700000000000045,3,0,-3,4.666666666666667,14.333333333333334,3.3333333333333335,3.6666666666666665,2.3333333333333335,5.333333333333333,-9.666666666666668,-0.33333333333333304,-2.9999999999999996,1
0022400736,2025-02-07,ATL vs. MIL,ATL,3,1,3,1,0.25,MIL,0,4,2,0,0.0,1,3,-3,1,1,1495.1,1534.1,-39.0,3,2,-1,4.5,5.333333333333333,1.0,2.3333333333333335,1.5,2.3333333333333335,-0.833333333333333,-1.3333333333333335,-0.8333333333333335,1
0022400735,2025-02-07,CLE @ WAS,WAS,2,1,4,0,0.25,CLE,13,5,3,1,0.417,0,-11,-4,1,-1,1387.8,1612.2,-224.4000000000001,2,0,-2,2.0,21.5,1.0,7.0,4.0,5.0,-19.5,-6.0,-1.0,1
0022400738,2025-02-07,PHI @ DET,DET,0,0,0,0,,PHI,27,3,7,4,0.45,0,-27,-3,-7,-4,1514.6,1417.1,97.5,0,1,1,13.0,27.0,2.3333333333333335,3.0,5.0,7.0,-14.0,-0.6666666666666665,-2.0,1
0022400734,2025-02-07,SAS @ CHA,CHA,8,5,0,1,0.75,SAS,33,4,2,4,0.667,0,-25,1,-2,-3,1392.7,1465.9,-73.20000000000005,3,2,-1,7.0,22.0,2.5,4.0,1.0,5.5,-15.0,-1.5,-4.5,1
0022400739,2025-02-07,OKC vs. TOR,OKC,4,6,3,2,0.4,TOR,11,2,1,0,0.8,0,-7,4,2,2,1631.7,1446.3,185.4000000000001,0,3,3,8.0,11.0,5.0,2.0,1.3333333333333333,1.0,-3.0,3.0,0.33333333333333326,1
0022400740,2025-02-07,PHX vs. UTA,PHX,12,3,1,0,0.625,UTA,9,3,3,0,0.222,1,3,0,-2,0,1475.6,1382.9,92.69999999999982,0,1,1,12.0,9.0,3.0,3.0,1.0,3.0,3.0,0.0,-2.0,1
0022400744,2025-02-08,ATL @ WAS,WAS,13,7,5,1,0.462,ATL,35,2,14,6,0.5,0,-22,5,-9,-5,1387.8,1495.1,-107.29999999999995,0,2,2,7.5,34.5,4.0,1.0,4.5,11.5,-27.0,3.0,-7.0,1
0022400751,2025-02-08,UTA @ LAC,LAC,0,0,2,0,,UTA,21,4,4,4,0.5,0,-21,-4,-2,-4,1543.9,1382.9,161.0,1,1,0,10.0,15.0,4.666666666666667,3.5,2.6666666666666665,3.5,-5.0,1.166666666666667,-0.8333333333333335,1
0022400746,2025-02-08,OKC @ MEM,MEM,3,2,1,1,0.333,OKC,0,0,0,0,0.0,1,3,2,1,1,1534.1,1631.7,-97.60000000000014,0,0,0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,1
0022400750,2025-02-08,SAC vs. NOP,SAC,13,4,7,5,0.357,NOP,6,2,0,1,1.0,1,7,2,7,4,1495.1,1402.4,92.69999999999982,1,0,-1,11.5,10.666666666666666,2.0,4.666666666666667,5.0,2.3333333333333335,0.8333333333333339,-2.666666666666667,2.6666666666666665,1
0022400743,2025-02-08,ORL vs. SAS,ORL,17,7,6,5,0.412,SAS,0,1,0,1,0.0,1,17,6,6,4,1500.0,1465.9,34.09999999999991,2,2,0,17.0,14.666666666666666,7.0,3.0,6.0,3.6666666666666665,2.333333333333334,4.0,2.3333333333333335,1
0022400747,2025-02-08,MIN vs. POR,MIN,8,0,6,2,0.333,POR,0,5,0,1,0.0,1,8,-5,6,1,1539.0,1475.6,63.40000000000009,2,1,-1,9.0,0.0,4.0,5.0,3.3333333333333335,0.0,9.0,-1.0,3.3333333333333335,1
0022400742,2025-02-08,LAL vs. IND,LAL,8,1,1,0,0.8,IND,23,6,4,0,0.4,0,-15,-5,-3,0,1543.9,1543.9,0.0,3,0,-3,9.5,9.0,2.0,3.6666666666666665,1.5,4.333333333333333,0.5,-1.6666666666666665,-2.833333333333333,1
0022400749,2025-02-08,DEN @ PHX,PHX,0,1,1,0,,DEN,2,1,0,0,1.0,0,-2,0,1,0,1475.6,1543.9,-68.30000000000018,1,3,2,6.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,1.0,1
